#,Gender,Age_range,Household_type,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group,fuel-security_score,Work_Schedule,Income,lad_code,msoa_code,imd_decile,crime_rate_per_1000,green_space_pct,park_distance_m
01g1puj0zbtyyl68d9l01g1pujrxajj5,Female,25 to 29,Living with partner/ spouse (NO children or children have left home),4,0,2,9,Living in rented accommodation arranged by the Local Authority,5,Working full-time,"£37,901- £58,900 p.a.",E09000013,E02000387,7,113.59740385755717,66.5,411.0264496199996
01h0q6h87uvwo01h0qeji2vxnl4z78ik,Female,40 to 44,Living with partner/ spouse (NO children or children have left home),6,1,1,0,Renting from private landlord,0,Working full-time,"£37,901- £58,900 p.a.",E09000015,E02006882,7,61.229398357595265,95.19999999999999,722.9293734048774
01nhwhotteqvsg5qfl301nhwho84uknz,Male,30 to 34,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,2,2,9,Living in rented accommodation from Housing Association,2,Unemployed,Prefer not to say,E09000033,E02000981,7,372.93320499747455,89.8,438.81668114406733
020yzynec712xmojk020yzynd1hjo9pl,Female,55 to 59,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",9,0,2,0,Living in rented accommodation arranged by the Local Authority,0,Working full-time,"£24,301- £37,900 p.a.",E09000009,E02000276,5,81.46078799553669,90.2,360.39591854838676
029tb4078h9gvgwasyk029tb49nw0foj,Male,55 to 59,"Living with other adults that are non-family members, such as friends/ flatmates",7,2,2,0,Renting from private landlord,0,Working full-time,"£24,301- £37,900 p.a.",E09000029,E02000852,10,64.10579524758313,94.3,454.37736494444397
02y78kl4j38a7uz0y302y78khms0e1gf,Male,25 to 29,Living with partner/ spouse (NO children or children have left home),9,2,2,1,Renting from private landlord,0,Working full-time,"More than £58,900 p.a.",E09000023,E02000658,2,93.94595064593693,84.7,207.79805383471032
03sd4y29v9de5p35f03sllcm7h0517jn,Female,60 to 64,Living with partner/ spouse (NO children or children have left home),10,2,2,0,Owning the house outright,0,Retired,"£14,901- £24,300 p.a.",E09000002,E02000020,3,96.13295824831053,91.4,419.7221256038647
04d9wzjtjml0j0wapn3o9904d9wzjlm7,Female,30 to 34,Living with partner/ spouse (NO children or children have left home),3,2,2,7,Renting from private landlord,4,Unemployed,"£14,901- £24,300 p.a.",E09000028,E02000816,4,112.89535525791995,60.3,348.3833698765427
04xig3ylhz6gt9vvrnr5904xig3ylw0y,Female,30 to 34,Living with partner/ spouse (NO children or children have left home),7,0,2,1,Renting from private landlord,0,Working full-time,"£37,901- £58,900 p.a.",E09000025,E02000750,8,102.94920578921285,68.60000000000001,302.48878647349784
05m7eizbsj93i1y6a05m7ei676f2bjn2,Female,20 to 24,"Living with other adults that are non-family members, such as friends/ flatmates",6,2,2,7,Renting from private landlord,3,Working part-timeStudent,"£14,901- £24,300 p.a.",E09000030,E02000880,4,106.55418799829552,71.6,219.03711217646998
06k2u24j6epnm4yfaafhq206k2u24js6,Female,25 to 29,"Living with other adults that are non-family members, such as friends/ flatmates",7,0,2,1,Buying the house on a mortgage,1,Working full-time,Prefer not to say,E09000022,E02000637,4,107.01926113040733,88.5,253.40198487116533
06or1d3m9fzlts2ph0206or1fgb3tojn,Male,25 to 29,Living with partner/ spouse (NO children or children have left home),8,1,1,0,Renting from private landlord,0,Working full-time,"£24,301- £37,900 p.a.",E09000014,E02000404,4,110.31084588034891,73.8,246.15585895575154
06yngllxu1mxe3to806ynglepeqoovz6,Female,55 to 59,Living with partner/ spouse (NO children or children have left home),9,0,0,0,Buying the house on a mortgage,0,Working part-time,"More than £58,900 p.a.",E09000001,E02000001,10,633.9355852317361,7.199999999999999,277.90590445674144
07dvjz2l3tt3pstao007dvjzns4mzwcq,Male,65 to 69,"Living with other adults that are non-family members, such as friends/ flatmates",10,0,2,0,Owning the house outright,0,Retired,"£14,901- £24,300 p.a.",E09000028,E02000810,3,112.89535525791995,67.2,213.7486822868523
07f6xdfvyh4qsum2km07fwo8xhafi0gi,Male,55 to 59,Living on my own (NO children or children have left home),4,2,0,5,Renting from private landlord,0,Unemployed,"Less than £14,900 p.a.",E09000010,E02000303,1,92.56137264603299,84.7,263.6121209290318
0815vr8ry8ya84fdr730815vr8u80tdb,Female,45 to 49,Living on my own (NO children or children have left home),8,2,1,9,Renting from private landlord,4,Not working- looking after house/ children,Prefer not to say,E09000030,E02000867,4,106.55418799829552,74.6,289.4132509650714
0831vti54xii7bprqm740831v76577az,Female,25 to 29,"Living with other adults that are non-family members, such as friends/ flatmates",10,0,1,2,Renting from private landlord,0,Working part-timeStudent,Prefer not to say,E09000030,E02000883,2,106.55418799829552,72.89999999999999,159.1394041233761
08q21gl34o0smq8lzfz08q5qfg60zy8p,Female,35 to 39,Living with partner/ spouse (NO children or children have left home),8,0,1,1,Buying the house on a mortgage,0,Working full-time,Prefer not to say,E09000029,E02000850,7,64.10579524758313,94.5,359.0248843785043
0a3r1sz8l0qvpr30a3r9jrcl7sged021,Female,30 to 34,Living with partner/ spouse (NO children or children have left home),9,0,1,0,Buying the house on a mortgage,0,Working full-timeStudent,"More than £58,900 p.a.",E09000030,E02000883,2,106.55418799829552,72.89999999999999,159.1394041233761
