Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m
3,1,4,0,2,9,1,5,4,09000013,02000387,7,66.5,411.0264496199996
6,1,6,1,1,0,2,0,4,09000015,02006882,7,95.19999999999999,722.9293734048774
4,2,8,2,2,9,3,2,0,09000033,02000981,7,89.8,438.81668114406733
9,2,9,0,2,0,1,0,3,09000009,02000276,5,90.2,360.39591854838676
9,3,7,2,2,0,2,0,3,09000029,02000852,10,94.3,454.37736494444397
3,1,9,2,2,1,2,0,5,09000023,02000658,2,84.7,207.79805383471032
10,1,10,2,2,0,4,0,2,09000002,02000020,3,91.4,419.7221256038647
4,1,3,2,2,7,2,4,2,09000028,02000816,4,60.3,348.3833698765427
4,1,7,0,2,1,2,0,4,09000025,02000750,8,68.60000000000001,302.48878647349784
2,3,6,2,2,7,2,3,2,09000030,02000880,4,71.6,219.03711217646998
3,3,7,0,2,1,5,1,0,09000022,02000637,4,88.5,253.40198487116533
3,1,8,1,1,0,2,0,3,09000014,02000404,4,73.8,246.15585895575154
9,1,9,0,0,0,5,0,5,09000001,02000001,10,7.199999999999999,277.90590445674144
11,3,10,0,2,0,4,0,2,09000028,02000810,3,67.2,213.7486822868523
9,4,4,2,0,5,2,0,1,09000010,02000303,1,84.7,263.6121209290318
7,4,8,2,1,9,2,4,0,09000030,02000867,4,74.6,289.4132509650714
3,3,10,0,1,2,2,0,0,09000030,02000883,2,72.89999999999999,159.1394041233761
5,1,8,0,1,1,5,0,0,09000029,02000850,7,94.5,359.0248843785043
4,1,9,0,1,0,5,0,5,09000030,02000883,2,72.89999999999999,159.1394041233761
5,1,9,0,2,0,5,0,5,09000008,02000215,6,74.5,716.0455817901232
4,3,6,0,2,1,2,1,0,09000003,02000064,3,64.9,438.2215862068965
3,3,9,2,2,0,2,0,4,09000013,02000383,6,74.4,195.0558594575158
8,2,8,2,2,1,5,2,0,09000017,02000503,9,98,535.9539143448269
8,2,5,2,1,9,1,3,0,09000009,02000245,2,65.9,281.64292554777035
9,2,8,2,1,4,5,5,4,09000025,02000750,8,68.60000000000001,302.48878647349784
6,3,6,2,1,9,6,3,0,09000001,02000001,6,7.199999999999999,277.90590445674144
5,4,10,2,2,0,5,0,0,09000028,02000822,3,57.699999999999996,138.29286937037006
4,1,8,0,2,0,2,1,5,09000012,02000365,2,65.7,302.35413115511517
2,3,7,2,1,0,2,0,5,09000032,02000937,10,94.5,278.4041501317825
10,2,4,2,1,0,4,0,0,09000019,02000563,2,80.80000000000001,387.3530042214282
3,3,8,1,2,4,2,1,0,09000013,02000387,4,66.5,411.0264496199996
3,1,7,2,2,8,2,2,2,09000006,02000131,4,79.7,174.72620705825207
5,4,5,2,2,9,2,2,0,09000029,02000857,8,79.10000000000001,622.7682567772507
10,2,3,2,0,8,4,2,3,09000027,02000796,6,90.2,374.5922098983047
6,4,7,2,2,8,1,2,1,09000033,02000975,7,77.60000000000001,413.5411479999996
5,1,8,2,0,9,7,3,0,09000028,02000831,4,79.80000000000001,380.1352282887697
