participant_id,Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
01g1puj0zbtyyl68d9l01g1pujrxajj5,1,2,3,1,4,0,2,9,1,5,4,9000013,2000387,7,66.5,411.0264496,113.5974039
01h0q6h87uvwo01h0qeji2vxnl4z78ik,1,2,6,1,6,1,1,0,2,0,4,9000015,2006882,7,95.2,722.9293734,61.22939836
01nhwhotteqvsg5qfl301nhwho84uknz,2,7,4,2,8,2,2,9,3,2,0,9000033,2000981,7,89.8,438.8166811,372.933205
020yzynec712xmojk020yzynd1hjo9pl,1,2,9,2,9,0,2,0,1,0,3,9000009,2000276,5,90.2,360.3959185,81.460788
029tb4078h9gvgwasyk029tb49nw0foj,2,2,9,3,7,2,2,0,2,0,3,9000029,2000852,10,94.3,454.3773649,64.10579525
02y78kl4j38a7uz0y302y78khms0e1gf,2,2,3,1,9,2,2,1,2,0,5,9000023,2000658,2,84.7,207.7980538,93.94595065
03sd4y29v9de5p35f03sllcm7h0517jn,1,5,10,1,10,2,2,0,4,0,2,9000002,2000020,3,91.4,419.7221256,96.13295825
04d9wzjtjml0j0wapn3o9904d9wzjlm7,1,7,4,1,3,2,2,7,2,4,2,9000028,2000816,4,60.3,348.3833699,112.8953553
04xig3ylhz6gt9vvrnr5904xig3ylw0y,1,2,4,1,7,0,2,1,2,0,4,9000025,2000750,8,68.6,302.4887865,102.9492058
05m7eizbsj93i1y6a05m7ei676f2bjn2,1,3,2,3,6,2,2,7,2,3,2,9000030,2000880,4,71.6,219.0371122,106.554188
06k2u24j6epnm4yfaafhq206k2u24js6,1,2,3,3,7,0,2,1,5,1,0,9000022,2000637,4,88.5,253.4019849,107.0192611
06or1d3m9fzlts2ph0206or1fgb3tojn,2,2,3,1,8,1,1,0,2,0,3,9000014,2000404,4,73.8,246.155859,110.3108459
06yngllxu1mxe3to806ynglepeqoovz6,1,3,9,1,9,0,0,0,5,0,5,9000001,2000001,10,7.2,277.9059045,633.9355852
07dvjz2l3tt3pstao007dvjzns4mzwcq,2,5,11,3,10,0,2,0,4,0,2,9000028,2000810,3,67.2,213.7486823,112.8953553
07f6xdfvyh4qsum2km07fwo8xhafi0gi,2,7,9,4,4,2,0,5,2,0,1,9000010,2000303,1,84.7,263.6121209,92.56137265
0815vr8ry8ya84fdr730815vr8u80tdb,1,9,7,4,8,2,1,9,2,4,0,9000030,2000867,4,74.6,289.413251,106.554188
0831vti54xii7bprqm740831v76577az,1,3,3,3,10,0,1,2,2,0,0,9000030,2000883,2,72.9,159.1394041,106.554188
08q21gl34o0smq8lzfz08q5qfg60zy8p,1,2,5,1,8,0,1,1,5,0,0,9000029,2000850,7,94.5,359.0248844,64.10579525
0a3r1sz8l0qvpr30a3r9jrcl7sged021,1,2,4,1,9,0,1,0,5,0,5,9000030,2000883,2,72.9,159.1394041,106.554188
0aj3hhtr8u5pk0a40aj3hhtrh5ebao1o,1,2,5,1,9,0,2,0,5,0,5,9000008,2000215,6,74.5,716.0455818,87.80214462
0ale3y04rg2bmqymgtzv0alekokgabaq,2,6,4,3,6,0,2,1,2,1,0,9000003,2000064,3,64.9,438.2215862,71.52628694
0b3euqilbt0a2p0b3eu5txdg5eiytw5h,1,2,3,3,9,2,2,0,2,0,4,9000013,2000383,6,74.4,195.0558595,113.5974039
0bvwssy5ooxr4zm9p60bvwssyma3jgbo,1,2,8,2,8,2,2,1,5,2,0,9000017,2000503,9,98,535.9539143,77.02625332
0c09boua7mww0c09byxx1cwrlp5e0brq,1,8,8,2,5,2,1,9,1,3,0,9000009,2000245,2,65.9,281.6429255,81.460788
0dn82b9n47ay5okdg51v0dn82bq4q8j1,1,2,9,2,8,2,1,4,5,5,4,9000025,2000750,8,68.6,302.4887865,102.9492058
0e24d2uejtn3p5bc0eyl4leyjgpfqyd2,2,7,6,3,6,2,1,9,6,3,0,9000001,2000001,6,7.2,277.9059045,633.9355852
0eog814857b8hgz90eogfgjqvvb6ip4s,3,2,5,4,10,2,2,0,5,0,0,9000028,2000822,3,57.7,138.2928694,112.8953553
0f5b07424gzi72xj60f5bt9rsb5o3txt,1,2,4,1,8,0,2,0,2,1,5,9000012,2000365,2,65.7,302.3541312,121.6670744
0fkatqwm9bc5juo6n0fkanrhwu841e76,1,2,2,3,7,2,1,0,2,0,5,9000032,2000937,10,94.5,278.4041501,75.01260027
0jlqc5g8uqm8b55lhgb0jlqv1ef5mpod,1,3,10,2,4,2,1,0,4,0,0,9000019,2000563,2,80.8,387.3530042,127.4397297
0kc04k0mjrdjumkem1ge0kc04k0tbi6m,1,3,3,3,8,1,2,4,2,1,0,9000013,2000387,4,66.5,411.0264496,113.5974039
0leorcocyfcrvz80leoh6w52kpj4sp1r,1,9,3,1,7,2,2,8,2,2,2,9000006,2000131,4,79.7,174.7262071,69.34413948
0md75d7ml6sb667jk0mdhsadvn1tg7ol,2,2,5,4,5,2,2,9,2,2,0,9000029,2000857,8,79.1,622.7682568,64.10579525
0myboojw5fh0mdnekpofeww7ufo6a7dn,2,2,10,2,3,2,0,8,4,2,3,9000027,2000796,6,90.2,374.5922099,59.12433069
0n6xrsh1h89yekazaw2y0n6xrspaumrt,2,8,6,4,7,2,2,8,1,2,1,9000033,2000975,7,77.6,413.541148,372.933205
0nd5qqzf46xk2hl50nd5qqla48qtf82p,1,6,5,1,8,2,0,9,7,3,0,9000028,2000831,4,79.8,380.1352283,112.8953553
0o0w3v97sqolnw0o00tm4rwysyh24oay,2,7,8,4,8,2,0,7,3,3,1,9000033,2000964,3,87.5,271.3382244,372.933205
0qhvu8fx3jr5xjsoyd0qhvxn34jfia19,2,2,5,2,6,2,2,5,6,4,2,9000022,2000620,3,60.4,166.2824342,107.0192611
0s603aw0b1uvi12s4i30s603a6nmvqxw,2,6,2,3,8,2,2,0,2,2,1,9000022,2000627,4,80.1,485.7477147,107.0192611
0stxiu3sat7nupuq0stxin97uvlbrifc,1,6,2,4,7,2,2,6,2,2,1,9000019,2000574,4,65.5,246.2140049,127.4397297
0tailey4lnodhaddg0zm0ss0tail4pmn,1,2,3,4,9,2,1,6,2,0,3,9000021,2000608,5,78.2,388.9270424,73.10062573
0tgsy127veov2tvu460tgsixnb72ahji,1,3,2,3,8,1,2,5,0,1,1,9000009,2000276,7,90.2,360.3959185,81.460788
0u7h5yceye5v7rsbxkyz0u7hr4ak4lgh,2,2,9,2,8,0,2,1,5,2,3,9000003,2000062,2,82.2,572.6834211,71.52628694
0u8jemxcu8zsqp599m6c0u8jem5tm8pu,1,2,5,4,8,0,1,0,2,0,5,9000033,2000967,8,68.3,182.3108158,372.933205
0w0va5l1ey6s897w0yrpm0w0va5l19n4,1,3,4,4,7,2,1,4,4,1,2,9000009,2000257,4,72.4,368.3446037,81.460788
0w2zdu8zui30ve8850w2z3d7bw8nufqy,1,2,8,4,7,0,2,0,2,0,4,9000008,2000198,2,83.5,449.266961,87.80214462
0w53flfh94y1cqv3uo0w53flds752cfj,2,2,5,4,6,2,2,5,3,0,3,9000025,2000720,4,94.7,594.9427249,102.9492058
0wdgc9shuon4b6eyo7l0wdxemf5f85s6,1,8,4,4,5,2,2,9,3,3,1,9000033,2000981,6,89.8,438.8166811,372.933205
0wx2a2xwuucnudgu9h41g0wx2oy4plpn,1,2,9,2,5,2,2,0,5,0,3,9000031,2000916,4,85.3,279.6337094,82.92437534
0x4gohk84b3ed91i61s0x4goh7v094mj,1,2,4,3,8,2,2,5,3,3,3,9000033,2000972,4,38.4,336.0770795,372.933205
