Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,Housing_tenure_group_code,Income_Code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
2,9,8,5,7,1,2,4,4,8,85.4,348.2556848,64.46313682
1,2,9,2,8,2,2,5,3,5,93.9,674.7629061,61.22939836
3,6,1,3,6,2,2,8,0,5,96.4,221.5735411,89.33622132
1,2,10,2,9,2,1,5,4,6,84.3,209.5898145,112.8953553
1,7,6,5,7,2,2,2,0,6,90.4,199.8929388,81.460788
2,3,6,4,8,1,2,5,5,6,29.7,251.602269,96.79696038
1,2,7,5,8,2,2,5,3,7,94.2,287.7984998,78.28836493
1,3,9,1,8,0,2,4,5,2,84.9,238.6198735,107.0192611
1,3,5,5,9,0,2,5,5,9,89.5,337.9697387,59.12433069
1,2,3,4,7,2,2,5,4,5,66.2,408.9015291,75.01260027
2,2,8,1,8,0,0,4,3,1,83.6,557.9546814,92.56137265
1,2,5,4,9,0,2,2,5,3,55.7,313.6281544,102.9492058
1,2,3,3,8,0,2,2,5,4,72.8,192.1284982,127.4397297
1,2,4,2,7,1,2,3,3,3,67.8,879.1669964,87.80214462
1,2,5,5,8,0,2,2,4,10,92.9,452.5629203,64.10579525
1,2,3,4,8,0,1,2,4,4,93.8,203.8307111,93.94595065
1,5,10,1,7,2,2,4,5,9,81.6,424.4852207,78.28836493
1,3,7,5,10,0,1,5,5,9,73.4,265.4326667,71.52628694
1,2,3,2,8,1,1,4,3,6,94.9,646.4132979,89.33622132
2,2,3,3,7,2,2,2,3,3,82.2,250.1756512,121.6670744
1,2,7,5,9,2,1,5,0,7,83.5,478.9911174,110.3108459
1,8,2,3,5,2,2,7,2,4,93.4,205.8874095,82.92437534
1,2,6,1,7,2,1,5,0,10,95.2,1188.004894,61.22939836
0,3,10,2,5,2,2,4,2,5,65.7,302.3541312,121.6670744
1,2,3,1,9,1,2,2,2,1,86.5,375.4397862,89.33622132
2,3,10,4,10,1,2,3,2,2,63.8,310.18823,106.554188
2,2,5,3,6,2,1,2,1,2,67.0,902.9186947,73.10062573
2,2,3,3,3,2,2,2,4,5,90.1,659.2398354,161.7785752
1,9,3,5,10,0,2,2,0,4,88.0,566.555378,75.01260027
1,2,6,6,5,2,2,2,1,8,77.5,220.8761869,64.7356604
1,2,4,3,8,0,2,2,5,2,42.2,285.2304662,106.554188
1,2,3,1,8,1,1,2,2,4,86.0,285.9620554,102.9492058
1,2,2,3,7,2,2,2,4,4,91.5,533.0982935,107.0192611
1,9,3,6,7,2,2,3,1,5,80.1,217.2005439,107.0192611
1,2,5,5,6,2,2,3,3,2,77.6,281.0933161,69.34413948
1,2,4,1,6,0,2,2,4,8,69.3,586.4488115,71.52628694
2,3,7,3,4,2,2,2,2,8,63.9,337.5618841,71.52628694
1,2,4,3,8,2,2,2,5,5,87.5,347.5585172,89.33622132
1,3,2,1,8,2,1,2,1,2,75.0,182.5117189,82.92437534
1,3,4,5,8,2,2,5,5,4,79.1,489.4121318,82.92437534
1,2,6,1,9,0,2,5,5,5,84.6,495.2079817,71.52628694
2,3,3,3,4,2,0,2,3,3,76.6,186.3648458,110.3108459
2,5,12,1,7,2,1,4,1,4,93.9,261.5263798,102.9492058
2,2,3,4,8,2,1,1,4,3,70.5,176.4223562,106.554188
1,2,5,1,9,2,2,5,4,8,39.8,209.305753,372.933205
1,2,10,4,8,2,2,3,2,6,85.6,390.6371253,161.7785752
1,2,3,1,6,2,2,2,3,3,83.3,313.4991137,161.7785752
2,2,3,1,7,2,2,2,4,5,81.1,261.2882823,93.94595065
1,2,8,5,4,2,1,2,4,6,69.2,540.8561438,92.56137265
1,5,9,4,9,0,2,4,1,5,86.8,551.627162,59.12433069
2,2,5,4,6,2,2,3,3,4,94.7,594.9427249,102.9492058
1,2,8,4,5,2,2,3,2,2,79.5,196.7858868,92.56137265
1,7,4,2,3,2,2,3,1,2,89.1,156.4309,106.554188
2,2,8,2,6,2,2,5,5,8,94.0,365.1317189,61.22939836
1,2,5,4,8,2,2,5,5,6,80.1,521.6443942,82.92437534
1,2,3,1,7,2,2,5,4,5,75.7,557.9557642,77.02625332
1,2,8,2,9,1,2,5,3,6,28.8,234.7900967,112.8953553
1,9,5,5,9,0,2,2,5,5,90.4,199.8929388,81.460788
2,2,5,4,7,2,1,5,5,3,55.9,209.5139229,75.01260027
0,3,4,5,10,1,2,0,0,6,87.2,186.6749724,96.79696038
1,3,5,5,9,1,2,2,2,5,93.2,474.1098868,93.94595065
1,2,5,1,8,1,2,5,5,4,65.5,246.2140049,127.4397297
1,3,4,5,10,0,2,5,5,2,91.9,443.9357978,59.12433069
1,2,3,3,8,0,1,5,4,2,86.2,238.4656339,107.0192611
3,7,2,4,7,2,2,1,1,9,99.1,273.946818,64.7356604
1,2,5,5,9,1,2,5,5,4,93.9,252.7094037,82.92437534
1,2,2,2,8,2,2,2,3,2,48.2,272.7341456,106.554188
2,3,7,2,7,2,2,4,4,8,93.9,331.8067901,78.28836493
1,2,8,1,8,0,2,4,5,6,78.4,561.7243604,110.3108459
1,3,5,5,8,2,2,3,2,2,89.1,400.9947078,81.460788
1,7,9,4,7,2,1,3,0,4,93.4,190.4754795,102.9492058
2,4,3,3,8,2,2,2,3,5,66.0,294.2263877,113.5974039
1,2,3,3,7,0,2,2,3,3,19.8,312.8679601,127.4397297
1,2,5,6,9,2,2,5,5,3,78.5,258.8066748,127.4397297
1,6,2,3,6,2,1,8,0,4,69.6,203.7924603,112.8953553
2,5,10,2,9,0,2,4,3,5,83.0,659.0337097,64.46313682
2,2,7,1,8,2,2,4,1,5,78.2,491.4274889,96.79696038
2,2,5,5,6,2,2,5,5,4,89.4,293.9610116,93.94595065
1,9,4,5,7,2,2,2,3,9,89.2,361.6728254,64.10579525
2,6,2,3,5,2,0,8,0,2,89.4,407.033161,102.9492058
2,2,5,4,5,2,2,2,0,8,79.1,622.7682568,64.10579525
1,2,3,1,9,1,2,2,5,5,48.2,272.7341456,106.554188
1,3,10,2,7,1,2,1,3,3,82.0,258.8864942,77.02625332
1,3,5,5,9,0,2,5,1,2,87.0,444.835855,73.74327005
1,2,2,3,8,0,2,2,5,6,60.4,166.2824342,107.0192611
2,7,8,4,3,2,1,2,1,5,57.5,167.3391426,106.554188
