variable,category,respondent_count,food_insecurity_rate_pct,fuel_insecurity_rate_pct,both_insecure_rate_pct
housing_tenure_group,Buying the house on a mortgage,741,30.634278002699055,30.634278002699055,20.3778677462888
housing_tenure_group,Living in a night shelter/ hostel,26,96.15384615384616,73.07692307692307,73.07692307692307
housing_tenure_group,Living in rented accommodation arranged by the Local Authority,224,82.58928571428571,74.55357142857143,68.75
housing_tenure_group,Living in rented accommodation from Housing Association,229,79.47598253275109,77.29257641921397,67.24890829694323
housing_tenure_group,Living in student accommodation/ student halls,46,76.08695652173914,47.82608695652174,43.47826086956522
housing_tenure_group,Owning the house outright,402,23.6318407960199,28.109452736318406,15.92039800995025
housing_tenure_group,Renting from private landlord,1051,56.13701236917221,51.66508087535681,40.532825880114174
housing_tenure_group,Temporarily living with friends and/ or family while attempting to find permanent accommodation,79,65.82278481012658,60.75949367088608,46.835443037974684
epc_rating,A,44,63.63636363636363,40.909090909090914,36.36363636363637
epc_rating,B,107,47.66355140186916,51.4018691588785,37.38317757009346
epc_rating,C,267,39.70037453183521,40.823970037453186,30.711610486891384
epc_rating,D,319,40.12539184952978,44.5141065830721,31.347962382445143
epc_rating,Don't know,1971,52.56215119228818,47.28564180618975,38.051750380517504
epc_rating,E,130,47.69230769230769,55.38461538461539,37.69230769230769
epc_rating,F,35,57.14285714285714,65.71428571428571,45.714285714285715
epc_rating,G,13,69.23076923076923,61.53846153846154,61.53846153846154
prepayment_meter,Don't know,305,63.934426229508205,52.459016393442624,45.90163934426229
prepayment_meter,No,1919,41.11516414799375,39.81240229286087,28.660760812923396
prepayment_meter,Yes,662,68.8821752265861,65.70996978851964,56.04229607250756
private_renter,False,1835,46.321525885558586,44.46866485013624,34.60490463215259
private_renter,True,1051,56.13701236917221,51.66508087535681,40.532825880114174
social_renter,False,2433,44.10193177147554,41.718043567612,30.949445129469787
social_renter,True,453,81.01545253863135,75.93818984547461,67.99116997792495
owner_occupier,False,1743,64.14228341939186,58.462421113023524,48.53700516351119
owner_occupier,True,1143,28.171478565179353,29.74628171478565,18.810148731408574
