user_id,security_type,gender,age_group,age_order,health_condition,household_type,employment_status_group,income_band,income_order,housing_tenure_group,epc_rating,prepayment_meter,private_renter,social_renter,owner_occupier,life_satisfaction,social_isolation_score,social_support_score,lad_code,borough_name,imd_decile,crime_rate_per_1000,log_crime_rate,crime_quartile,crime_quartile_order,security_label,security_score,security_status,insecure_flag,severe_flag
513482,Food,Female,25 to 29,3,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"£37,901- £58,900 p.a.",4.0,Living in rented accommodation arranged by the Local Authority,F,No,False,True,False,4,0.0,1.0,E09000013,Hammersmith and Fulham,7,113.59740385755715,4.741425150076017,Highest,4,Very low food security,9,Insecure,1.0,1.0
4319274,Food,Female,40 to 44,6,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"£37,901- £58,900 p.a.",4.0,Renting from private landlord,Don't know,No,True,False,False,6,0.5,0.5,E09000015,Harrow,7,61.22939835759527,4.130827530489963,Lowest,1,High food security,0,Secure,0.0,0.0
6198143,Food,Male,30 to 34,4,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Unemployed,Prefer not to say,,Living in rented accommodation from Housing Association,Don't know,Don't know,False,True,False,8,1.5,1.5,E09000033,Westminster,7,372.93320499747455,5.924077185200883,Highest,4,Very low food security,9,Insecure,1.0,1.0
2358564,Food,Female,55 to 59,9,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",Working full-time,"£24,301- £37,900 p.a.",3.0,Living in rented accommodation arranged by the Local Authority,Don't know,Yes,False,True,False,9,0.0,1.0,E09000009,Ealing,5,81.46078799553669,4.412322883327404,Low-medium,2,High food security,0,Secure,0.0,0.0
2592808,Food,Male,55 to 59,9,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,"£24,301- £37,900 p.a.",3.0,Renting from private landlord,Don't know,Don't know,True,False,False,7,1.0,1.0,E09000029,Sutton,10,64.10579524758313,4.176013565952618,Lowest,1,High food security,0,Secure,0.0,0.0
6389886,Food,Male,25 to 29,3,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Renting from private landlord,Don't know,Don't know,True,False,False,9,1.0,1.5,E09000023,Lewisham,2,93.94595064593692,4.553307789123356,High-medium,3,Marginal food security,1,Insecure,1.0,0.0
2199592,Food,Female,60 to 64,10,No,Living with partner/ spouse (NO children or children have left home),Retired,"£14,901- £24,300 p.a.",2.0,Owning the house outright,Don't know,No,False,False,True,10,1.0,2.0,E09000002,Barking and Dagenham,3,96.13295824831052,4.576080743537603,High-medium,3,High food security,0,Secure,0.0,0.0
5553634,Food,Female,30 to 34,4,No,Living with partner/ spouse (NO children or children have left home),Unemployed,"£14,901- £24,300 p.a.",2.0,Renting from private landlord,B,Don't know,True,False,False,3,2.0,1.5,E09000028,Southwark,4,112.89535525791996,4.735280090498906,Highest,4,Low food security,7,Insecure,1.0,0.0
2825426,Food,Female,30 to 34,4,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"£37,901- £58,900 p.a.",4.0,Renting from private landlord,Don't know,No,True,False,False,7,0.0,1.5,E09000025,Newham,8,102.94920578921284,4.643902373959421,High-medium,3,Marginal food security,1,Insecure,1.0,0.0
5814492,Food,Female,20 to 24,2,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working part-time,"£14,901- £24,300 p.a.",2.0,Renting from private landlord,B,Yes,True,False,False,6,2.0,1.0,E09000030,Tower Hamlets,4,106.55418799829552,4.677994794967642,High-medium,3,Low food security,7,Insecure,1.0,0.0
2636667,Food,Female,25 to 29,3,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working full-time,Prefer not to say,,Buying the house on a mortgage,Don't know,No,False,False,True,7,0.0,2.0,E09000022,Lambeth,4,107.01926113040732,4.682309555022923,High-medium,3,Marginal food security,1,Insecure,1.0,0.0
6574621,Food,Male,25 to 29,3,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"£24,301- £37,900 p.a.",3.0,Renting from private landlord,Don't know,Yes,True,False,False,8,0.5,0.5,E09000014,Haringey,4,110.31084588034892,4.712326700796616,High-medium,3,High food security,0,Secure,0.0,0.0
1443061,Food,Female,55 to 59,9,No,Living with partner/ spouse (NO children or children have left home),Working part-time,"More than £58,900 p.a.",5.0,Buying the house on a mortgage,Don't know,No,False,False,True,9,0.0,0.0,E09000001,City of London,10,633.9355852317361,6.4535235531673045,Highest,4,High food security,0,Secure,0.0,0.0
5035532,Food,Male,65 to 69,11,No,"Living with other adults that are non-family members, such as friends/ flatmates",Retired,"£14,901- £24,300 p.a.",2.0,Owning the house outright,Don't know,No,False,False,True,10,0.0,1.0,E09000028,Southwark,3,112.89535525791996,4.735280090498906,Highest,4,High food security,0,Secure,0.0,0.0
1617721,Food,Male,55 to 59,9,Yes,Living on my own (NO children or children have left home),Unemployed,"Less than £14,900 p.a.",1.0,Renting from private landlord,B,Yes,True,False,False,4,1.5,0.0,E09000010,Enfield,1,92.561372646033,4.538617612899859,High-medium,3,Low food security,5,Insecure,1.0,0.0
6468788,Food,Female,45 to 49,7,Yes,Living on my own (NO children or children have left home),Not working- looking after house/ children,Prefer not to say,,Renting from private landlord,Don't know,Don't know,True,False,False,8,1.0,0.5,E09000030,Tower Hamlets,4,106.55418799829552,4.677994794967642,High-medium,3,Very low food security,9,Insecure,1.0,1.0
350934,Food,Female,25 to 29,3,No,"Living with other adults that are non-family members, such as friends/ flatmates",Working part-time,Prefer not to say,,Renting from private landlord,Don't know,No,True,False,False,10,0.0,1.0,E09000030,Tower Hamlets,2,106.55418799829552,4.677994794967642,High-medium,3,Marginal food security,2,Insecure,1.0,0.0
2618255,Food,Female,35 to 39,5,No,Living with partner/ spouse (NO children or children have left home),Working full-time,Prefer not to say,,Buying the house on a mortgage,C,No,False,False,True,8,0.0,1.0,E09000029,Sutton,7,64.10579524758313,4.176013565952618,Lowest,1,Marginal food security,1,Insecure,1.0,0.0
5822995,Food,Female,30 to 34,4,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Buying the house on a mortgage,C,No,False,False,True,9,0.0,1.0,E09000030,Tower Hamlets,2,106.55418799829552,4.677994794967642,High-medium,3,High food security,0,Secure,0.0,0.0
6569267,Food,Female,35 to 39,5,No,Living with partner/ spouse (NO children or children have left home),Working full-time,"More than £58,900 p.a.",5.0,Buying the house on a mortgage,E,No,False,False,True,9,0.0,1.5,E09000008,Croydon,6,87.80214462188941,4.486410800853894,Low-medium,2,High food security,0,Secure,0.0,0.0
