#,"By agreeing to take part in this survey, you confirm that you have read, understood and agreed with the following statements. Please note that this survey will skip to the end if you disagree to take part: 
 
 _I agree that data gathered in this study will be stored anonymously and securely, and will be used for research purposes only. _
 
 _I understand that my participation is voluntary and that I am free to withdraw at any time without giving reason. _
 
 _I understand that all personal information will remain confidentially within OLIO's database, and that no personally identifiable information will be shared with any third party, and that no data will be made available that can allow me to be personally identified in the results of this research. _
 
 _I am 18 years of age or older. _
 
 I agree to take part in this survey:",gender,age_group,health_condition,household_type,life_satisfaction,life_comparison,lack_companionship,feel_isolated,family_help,neighbour_exchange,Foodbank,Neighbours,Close family or friends,Community or faith group,None of the above,Other,"The next questions are about your household's diet in the past 12 months, since October of last year, and whether you were able to afford the food you needed. In the past 12 months, was the following statement true for you?
 
 We worried whether our food would run out before we got money to buy more.","The food that we bought just didn't last, and we didn't have money to get more.",We couldn't afford to eat balanced meals.,Did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?,How often did this happen?,Did you ever eat less than you felt you should because there wasn't enough money for food?,Were you ever hungry but didn't eat because there wasn't enough money for food?,Did you lose weight because there wasn't enough money for food?,Did you or other adults in your household ever not eat for a whole day because there wasn't enough money for food?,How often did this happen?.1,HH2,HH3,HH4,AD1,AD1a,AD2,AD3,AD4,AD5,AD5a,food_security_score,"The next questions are about the food situation of your children. In the past 12 months, was the following statement true for you? 
 
 We relied on only a few kinds of low-cost food to feed our children because we were running out of money to buy food.","We couldn't feed our children a balanced meal, because we couldn't afford that.",The children were not eating enough because we just couldn't afford enough food.,Did you ever cut the size of any of the children's meals because there wasn't enough money for food?,Did any of the children ever skip meals because there wasn't enough money for food?,How often did this happen?.2,Were the children ever hungry but you just couldn't afford more food?,Did any of the children ever not eat for a whole day because there wasn't enough money for food?,CH1,CH2,CH3,CH4,CH5,CH5a,CH6,CH7,child_security_score,household_food_security_children,household_food_security_no_children,food_security_label,housing_tenure_group,Other.1,epc_rating,prepayment_meter,"The following questions are about challenges your household may have had paying energy bills or maintaining heating in your home in the past 12 months. 
 
 How frequently did your household reduce or forego expenses for basic household necessities, such as medicine or food, in order to pay an energy bill?","In the past year, how frequently did your household keep your home at a cold temperature that you felt was unsafe or unhealthy?","In the past year, how frequently did your household run behind on payments for energy bills, or receive a notice to disconnect?","In the last year, was there ever a time your household was unable to use your main source of heat because you could not afford to pay for gas or electricity?",About how many days over the past year has your household gone without heat because you could not afford to pay for gas or electricity?,"In the last year, was there ever a time your household was unable to use your main source of heat because the equipment was broken, and you couldn't afford to pay to repair or replace the equipment?","In the past year, did anyone in your household need medical attention because your home was too cold?",FS1,FS2,FS3,FS4,FS5,FS6,FS7,fuel_security_label,fuel_security_score,energy_payment_worry,rent_mortgage_worry,Consider your grocery shopping habits in the past 12 months. How often have you avoided food that requires cooking to reduce energy usage?,Working full-time,Working part-time,Unemployed,Retired,Not working- looking after house/ children,Not working- long term sick or disabled,Student,Other.2,income_band,user_id,Start Date (UTC),Submit Date (UTC),response_time,survey_date,incentivised,lad_code,msoa_code,imd_decile,employment_status_group,private_renter,social_renter,owner_occupier,age_midpoint,income_midpoint,lack_companionship_ord,feel_isolated_ord,family_help_ord,neighbour_exchange_ord,social_isolation_score,family_help_score,neighbour_exchange_score,social_support_score,food_insecure,fuel_insecure,crime_rate_per_1000,food_security_status,fuel_security_status,both_insecure,severe_food_insecure,severe_fuel_insecure,borough_name,age_order,income_order,log_crime_rate,crime_quartile,crime_quartile_order
01g1puj0zbtyyl68d9l01g1pujrxajj5,1,Female,25 to 29,No,Living with partner/ spouse (NO children or children have left home),4,Worse,Hardly ever or never,Hardly ever or never,To some extent,Tend to disagree,,,Close family or friends,,,,Often true,Often true,Often true,Yes,Almost every month,Yes,Yes,Yes,Yes,,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,9,,,,,,,,,,,,,,,,,,,,Very low food security,Living in rented accommodation arranged by the Local Authority,,F,No,Almost every month,Almost every month,Almost every month,1,365.0,1,0,1,1,1,1,1,1,0,Very low fuel-security,5,Almost every month,Almost every month,Almost every month,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",513482,2022-11-22 15:36:00,2022-11-22 15:39:00,2.999999999301508,2022-11-22,1,E09000013,E02000387,7,Working full-time,False,True,False,27.0,48400.0,0,0,1,1,0.0,1,1,1.0,1.0,1.0,113.59740385755715,Insecure,Insecure,1.0,1.0,1.0,Hammersmith and Fulham,3,4.0,4.741425150076017,Highest,4
01h0q6h87uvwo01h0qeji2vxnl4z78ik,1,Female,40 to 44,No,Living with partner/ spouse (NO children or children have left home),6,Better,Hardly ever or never,Some of the time,To some extent,Definitely disagree,,,Close family or friends,,,,Never true,Never true,Never true,,,,,,,,0.0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,High food security,Renting from private landlord,,Don't know,No,Never,1 or 2 months,Never,1,25.0,0,0,0,0,0,1,0,0,0,High fuel-security,0,Some months but not every month,Some months but not every month,Never,Working full-time,,,,,,,,"£37,901- £58,900 p.a.",4319274,2022-11-22 16:01:00,2022-11-22 16:07:00,5.999999998603016,2022-11-22,1,E09000015,E02006882,7,Working full-time,True,False,False,42.0,48400.0,0,1,1,0,0.5,1,0,0.5,0.0,0.0,61.22939835759527,Secure,Secure,0.0,0.0,0.0,Harrow,6,4.0,4.130827530489963,Lowest,1
01nhwhotteqvsg5qfl301nhwho84uknz,1,Male,30 to 34,No,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,Better,Often,Some of the time,To some extent,Tend to agree,Foodbank,,Close family or friends,,,,Sometimes true,Sometimes true,Sometimes true,Yes,Some months but not every month,Yes,Yes,Yes,Yes,,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,9,,,,,,,,,,,,,,,,,,,,Very low food security,Living in rented accommodation from Housing Association,,Don't know,Don't know,Some months but not every month,Some months but not every month,Never,0,,0,0,1,1,0,0,0,0,0,Low fuel-security,2,Some months but not every month,Some months but not every month,Some months but not every month,,,Unemployed,,,,,,Prefer not to say,6198143,2022-11-22 18:50:00,2022-11-22 18:56:00,6.000000009080395,2022-11-22,1,E09000033,E02000981,7,Unemployed,False,True,False,32.0,,2,1,1,2,1.5,1,2,1.5,1.0,1.0,372.93320499747455,Insecure,Insecure,1.0,1.0,0.0,Westminster,4,,5.924077185200883,Highest,4
