Model,Class,Precision,Recall,F1,Support
Logistic Regression,High,0.6839080459770115,0.9296875,0.7880794701986755,256
Logistic Regression,Marginal,0.0,0.0,0.0,46
Logistic Regression,Low,0.14285714285714285,0.019230769230769232,0.03389830508474576,52
Logistic Regression,Very Low,0.5897435897435898,0.5822784810126582,0.5859872611464968,79
Random Forest,High,0.6976744186046512,0.9375,0.8,256
Random Forest,Marginal,0.16666666666666666,0.021739130434782608,0.038461538461538464,46
Random Forest,Low,0.25,0.038461538461538464,0.06666666666666667,52
Random Forest,Very Low,0.5733333333333334,0.5443037974683544,0.5584415584415584,79
XGBoost,High,0.7129629629629629,0.90234375,0.7965517241379311,256
XGBoost,Marginal,0.16666666666666666,0.043478260869565216,0.06896551724137931,46
XGBoost,Low,0.3333333333333333,0.11538461538461539,0.17142857142857143,52
XGBoost,Very Low,0.569620253164557,0.569620253164557,0.569620253164557,79
CatBoost,High,0.6970588235294117,0.92578125,0.7953020134228188,256
CatBoost,Marginal,0.0,0.0,0.0,46
CatBoost,Low,0.5714285714285714,0.07692307692307693,0.13559322033898305,52
CatBoost,Very Low,0.5647058823529412,0.6075949367088608,0.5853658536585366,79
