Model,Class,Precision,Recall,F1,Support
Logistic Regression,High,0.6309148264984227,0.8733624454148472,0.7326007326007326,229
Logistic Regression,Marginal,0.3333333333333333,0.024390243902439025,0.045454545454545456,82
Logistic Regression,Low,0.43119266055045874,0.44339622641509435,0.4372093023255814,106
Logistic Regression,Very Low,0.0,0.0,0.0,16
Random Forest,High,0.6366366366366366,0.925764192139738,0.7544483985765125,229
Random Forest,Marginal,0.0,0.0,0.0,82
Random Forest,Low,0.5108695652173914,0.44339622641509435,0.47474747474747475,106
Random Forest,Very Low,0.0,0.0,0.0,16
XGBoost,High,0.6543624161073825,0.851528384279476,0.7400379506641366,229
XGBoost,Marginal,0.21739130434782608,0.06097560975609756,0.09523809523809523,82
XGBoost,Low,0.46296296296296297,0.4716981132075472,0.4672897196261682,106
XGBoost,Very Low,0.0,0.0,0.0,16
CatBoost,High,0.6261398176291794,0.8995633187772926,0.7383512544802867,229
CatBoost,Marginal,0.36363636363636365,0.04878048780487805,0.08602150537634409,82
CatBoost,Low,0.4891304347826087,0.42452830188679247,0.45454545454545453,106
CatBoost,Very Low,0.0,0.0,0.0,16
