Model,Class,Precision,Recall,F1,Support
Logistic Regression,High,0.7303921568627451,0.6506550218340611,0.6882217090069284,229
Logistic Regression,Marginal,0.2676056338028169,0.23170731707317074,0.24836601307189543,82
Logistic Regression,Low,0.37894736842105264,0.33962264150943394,0.3582089552238806,106
Logistic Regression,Very Low,0.09523809523809523,0.375,0.1518987341772152,16
Random Forest,High,0.7161016949152542,0.7379912663755459,0.7268817204301076,229
Random Forest,Marginal,0.22727272727272727,0.12195121951219512,0.15873015873015872,82
Random Forest,Low,0.4074074074074074,0.5188679245283019,0.45643153526970953,106
Random Forest,Very Low,0.1111111111111111,0.125,0.11764705882352941,16
XGBoost,High,0.7703349282296651,0.7030567685589519,0.7351598173515982,229
XGBoost,Marginal,0.2597402597402597,0.24390243902439024,0.25157232704402516,82
XGBoost,Low,0.3937007874015748,0.4716981132075472,0.4291845493562232,106
XGBoost,Very Low,0.1,0.125,0.1111111111111111,16
CatBoost,High,0.7345132743362832,0.7248908296943232,0.7296703296703296,229
CatBoost,Marginal,0.2608695652173913,0.21951219512195122,0.23841059602649006,82
CatBoost,Low,0.43636363636363634,0.4528301886792453,0.4444444444444444,106
CatBoost,Very Low,0.10714285714285714,0.1875,0.13636363636363635,16
